method,noise_type,filename,PSNR,SSIM
gaussian,gaussian_50,kodim18.png,23.0325,0.5009
gaussian,gaussian_50,kodim19.png,23.0518,0.4383
gaussian,gaussian_50,kodim20.png,22.1718,0.4879
gaussian,gaussian_50,kodim21.png,23.1181,0.4513
gaussian,gaussian_50,kodim22.png,23.7789,0.4490
gaussian,gaussian_50,kodim23.png,24.4407,0.4202
gaussian,gaussian_50,kodim24.png,22.3300,0.4985
gaussian,sp_0.01,kodim01.png,25.0799,0.7266
gaussian,sp_0.01,kodim02.png,30.2184,0.7856
gaussian,sp_0.01,kodim03.png,30.8444,0.8216
gaussian,sp_0.01,kodim04.png,30.4285,0.8184
gaussian,sp_0.01,kodim05.png,24.9695,0.8023
gaussian,sp_0.01,kodim06.png,26.3516,0.7444
gaussian,sp_0.01,kodim07.png,30.1013,0.8693
gaussian,sp_0.01,kodim08.png,22.8064,0.7531
gaussian,sp_0.01,kodim09.png,29.8075,0.8257
gaussian,sp_0.01,kodim10.png,29.6970,0.8288
gaussian,sp_0.01,kodim11.png,27.6349,0.7758
gaussian,sp_0.01,kodim12.png,30.1326,0.8035
gaussian,sp_0.01,kodim13.png,23.1073,0.6944
gaussian,sp_0.01,kodim14.png,27.3171,0.7932
gaussian,sp_0.01,kodim15.png,29.0367,0.8027
gaussian,sp_0.01,kodim16.png,29.2627,0.7762
gaussian,sp_0.01,kodim17.png,29.8271,0.8369
gaussian,sp_0.01,kodim18.png,26.6351,0.7829
gaussian,sp_0.01,kodim19.png,26.9301,0.7801
gaussian,sp_0.01,kodim20.png,28.2046,0.7938
gaussian,sp_0.01,kodim21.png,27.0847,0.8001
gaussian,sp_0.01,kodim22.png,28.7087,0.7936
gaussian,sp_0.01,kodim23.png,31.0427,0.8563
gaussian,sp_0.01,kodim24.png,25.6051,0.7884
gaussian,sp_0.03,kodim01.png,24.3660,0.6688
gaussian,sp_0.03,kodim02.png,28.0243,0.6553
gaussian,sp_0.03,kodim03.png,28.6722,0.6816
gaussian,sp_0.03,kodim04.png,28.4205,0.7051
gaussian,sp_0.03,kodim05.png,24.1630,0.7409
gaussian,sp_0.03,kodim06.png,25.3693,0.6519
gaussian,sp_0.03,kodim07.png,28.2596,0.7602
gaussian,sp_0.03,kodim08.png,22.2866,0.7018
gaussian,sp_0.03,kodim09.png,28.1161,0.7008
gaussian,sp_0.03,kodim10.png,28.0614,0.7114
gaussian,sp_0.03,kodim11.png,26.4202,0.6767
gaussian,sp_0.03,kodim12.png,28.1933,0.6773
gaussian,sp_0.03,kodim13.png,22.5921,0.6469
gaussian,sp_0.03,kodim14.png,26.1210,0.7154
gaussian,sp_0.03,kodim15.png,27.1072,0.6622
gaussian,sp_0.03,kodim16.png,27.6787,0.6650
gaussian,sp_0.03,kodim17.png,27.8767,0.7192
gaussian,sp_0.03,kodim18.png,25.5478,0.6951
gaussian,sp_0.03,kodim19.png,25.8778,0.6805
gaussian,sp_0.03,kodim20.png,26.3478,0.6433
gaussian,sp_0.03,kodim21.png,26.0262,0.6946
gaussian,sp_0.03,kodim22.png,27.3133,0.6961
gaussian,sp_0.03,kodim23.png,28.6283,0.7104
gaussian,sp_0.03,kodim24.png,24.7787,0.7031
gaussian,sp_0.05,kodim01.png,23.7389,0.6223
gaussian,sp_0.05,kodim02.png,26.5160,0.5631
gaussian,sp_0.05,kodim03.png,27.1577,0.5837
gaussian,sp_0.05,kodim04.png,26.9554,0.6195
gaussian,sp_0.05,kodim05.png,23.4406,0.6913
gaussian,sp_0.05,kodim06.png,24.5299,0.5860
gaussian,sp_0.05,kodim07.png,26.8987,0.6812
gaussian,sp_0.05,kodim08.png,21.7930,0.6604
gaussian,sp_0.05,kodim09.png,26.8944,0.6130
gaussian,sp_0.05,kodim10.png,26.8355,0.6256
gaussian,sp_0.05,kodim11.png,25.4461,0.6041
gaussian,sp_0.05,kodim12.png,26.7902,0.5839
gaussian,sp_0.05,kodim13.png,22.1094,0.6075
gaussian,sp_0.05,kodim14.png,25.1271,0.6534
gaussian,sp_0.05,kodim15.png,25.6581,0.5657
gaussian,sp_0.05,kodim16.png,26.4743,0.5835
gaussian,sp_0.05,kodim17.png,26.4059,0.6292
gaussian,sp_0.05,kodim18.png,24.5778,0.6255
gaussian,sp_0.05,kodim19.png,25.0452,0.6084
gaussian,sp_0.05,kodim20.png,24.8848,0.5403
gaussian,sp_0.05,kodim21.png,25.1799,0.6215
gaussian,sp_0.05,kodim22.png,26.1576,0.6178
gaussian,sp_0.05,kodim23.png,27.0617,0.6114
gaussian,sp_0.05,kodim24.png,24.0323,0.6353
nl_means,gaussian_10,kodim01.png,28.1170,0.7730
nl_means,gaussian_10,kodim02.png,30.6884,0.7653
nl_means,gaussian_10,kodim03.png,32.1476,0.8543
nl_means,gaussian_10,kodim04.png,30.9937,0.8056
nl_means,gaussian_10,kodim05.png,29.7482,0.8810
nl_means,gaussian_10,kodim06.png,28.6378,0.7521
nl_means,gaussian_10,kodim07.png,32.0857,0.9027
nl_means,gaussian_10,kodim08.png,29.0903,0.8670
nl_means,gaussian_10,kodim09.png,32.1221,0.8578
nl_means,gaussian_10,kodim10.png,31.5786,0.8297
nl_means,gaussian_10,kodim11.png,29.9783,0.7588
nl_means,gaussian_10,kodim12.png,31.1477,0.7704
nl_means,gaussian_10,kodim13.png,27.3650,0.7768
nl_means,gaussian_10,kodim14.png,28.6207,0.7581
nl_means,gaussian_10,kodim15.png,31.5158,0.8329
nl_means,gaussian_10,kodim16.png,31.0281,0.7963
nl_means,gaussian_10,kodim17.png,31.1444,0.7839
nl_means,gaussian_10,kodim18.png,29.5466,0.8182
nl_means,gaussian_10,kodim19.png,30.3850,0.7983
nl_means,gaussian_10,kodim20.png,31.5001,0.8548
nl_means,gaussian_10,kodim21.png,30.9894,0.8644
nl_means,gaussian_10,kodim22.png,28.7094,0.7229
nl_means,gaussian_10,kodim23.png,33.2825,0.8854
nl_means,gaussian_10,kodim24.png,28.3212,0.8016
nl_means,gaussian_25,kodim01.png,24.0059,0.6657
nl_means,gaussian_25,kodim02.png,22.1985,0.3016
nl_means,gaussian_25,kodim03.png,25.2042,0.5909
nl_means,gaussian_25,kodim04.png,24.1304,0.5891
nl_means,gaussian_25,kodim05.png,22.5665,0.6499
nl_means,gaussian_25,kodim06.png,25.7951,0.7094
nl_means,gaussian_25,kodim07.png,25.7340,0.7545
nl_means,gaussian_25,kodim08.png,23.8806,0.7513
nl_means,gaussian_25,kodim09.png,28.3628,0.7879
nl_means,gaussian_25,kodim10.png,28.0039,0.7526
nl_means,gaussian_25,kodim11.png,24.6005,0.6203
nl_means,gaussian_25,kodim12.png,28.2375,0.7154
nl_means,gaussian_25,kodim13.png,23.1928,0.6979
nl_means,gaussian_25,kodim14.png,23.2998,0.5863
nl_means,gaussian_25,kodim15.png,23.1672,0.5118
nl_means,gaussian_25,kodim16.png,25.0520,0.6631
nl_means,gaussian_25,kodim17.png,23.5971,0.4954
nl_means,gaussian_25,kodim18.png,21.9924,0.4820
nl_means,gaussian_25,kodim19.png,25.6340,0.7085
nl_means,gaussian_25,kodim20.png,25.3831,0.7600
nl_means,gaussian_25,kodim21.png,25.6059,0.7664
nl_means,gaussian_25,kodim22.png,25.4237,0.6332
nl_means,gaussian_25,kodim23.png,25.6900,0.5970
nl_means,gaussian_25,kodim24.png,24.0273,0.6433
nl_means,gaussian_50,kodim01.png,14.6456,0.2673
nl_means,gaussian_50,kodim02.png,15.2620,0.1035
nl_means,gaussian_50,kodim03.png,14.9087,0.0989
nl_means,gaussian_50,kodim04.png,14.9142,0.1191
nl_means,gaussian_50,kodim05.png,15.1487,0.3123
nl_means,gaussian_50,kodim06.png,15.5781,0.3058
nl_means,gaussian_50,kodim07.png,14.6996,0.1643
nl_means,gaussian_50,kodim08.png,15.3782,0.4137
nl_means,gaussian_50,kodim09.png,15.0453,0.1373
nl_means,gaussian_50,kodim10.png,14.8804,0.1317
nl_means,gaussian_50,kodim11.png,14.8098,0.1643
nl_means,gaussian_50,kodim12.png,16.8195,0.2051
nl_means,gaussian_50,kodim13.png,15.0829,0.3393
nl_means,gaussian_50,kodim14.png,15.0961,0.2082
nl_means,gaussian_50,kodim15.png,16.6585,0.3034
nl_means,gaussian_50,kodim16.png,14.9206,0.1353
nl_means,gaussian_50,kodim17.png,15.2419,0.1375
nl_means,gaussian_50,kodim18.png,15.2042,0.1999
nl_means,gaussian_50,kodim19.png,14.9676,0.1976
nl_means,gaussian_50,kodim20.png,17.7689,0.5610
nl_means,gaussian_50,kodim21.png,14.8089,0.1909
nl_means,gaussian_50,kodim22.png,14.9676,0.1515
nl_means,gaussian_50,kodim23.png,15.3094,0.1278
nl_means,gaussian_50,kodim24.png,14.9630,0.2372
nl_means,sp_0.01,kodim01.png,27.4816,0.7655
nl_means,sp_0.01,kodim02.png,30.3164,0.7529
nl_means,sp_0.01,kodim03.png,31.8037,0.8482
nl_means,sp_0.01,kodim04.png,30.3062,0.7900
nl_means,sp_0.01,kodim05.png,27.7546,0.8579
nl_means,sp_0.01,kodim06.png,28.2398,0.7447
nl_means,sp_0.01,kodim07.png,31.0946,0.8917
nl_means,sp_0.01,kodim08.png,27.7091,0.8518
nl_means,sp_0.01,kodim09.png,31.5636,0.8504
nl_means,sp_0.01,kodim10.png,30.9878,0.8209
nl_means,sp_0.01,kodim11.png,28.8855,0.7547
nl_means,sp_0.01,kodim12.png,30.8234,0.7626
nl_means,sp_0.01,kodim13.png,26.5972,0.7598
nl_means,sp_0.01,kodim14.png,27.7059,0.7372
nl_means,sp_0.01,kodim15.png,29.8855,0.8145
nl_means,sp_0.01,kodim16.png,30.3952,0.7831
nl_means,sp_0.01,kodim17.png,29.9477,0.8100
nl_means,sp_0.01,kodim18.png,28.2689,0.7933
nl_means,sp_0.01,kodim19.png,29.7419,0.7888
nl_means,sp_0.01,kodim20.png,30.9897,0.8353
nl_means,sp_0.01,kodim21.png,29.8389,0.8491
nl_means,sp_0.01,kodim22.png,28.4630,0.7175
nl_means,sp_0.01,kodim23.png,32.6499,0.8769
nl_means,sp_0.01,kodim24.png,27.9196,0.7918
nl_means,sp_0.03,kodim01.png,25.1564,0.7306
nl_means,sp_0.03,kodim02.png,27.4014,0.6708
nl_means,sp_0.03,kodim03.png,28.5468,0.7461
nl_means,sp_0.03,kodim04.png,27.1673,0.7171
nl_means,sp_0.03,kodim05.png,23.7326,0.7569
nl_means,sp_0.03,kodim06.png,25.9793,0.6906
nl_means,sp_0.03,kodim07.png,27.4712,0.7998
nl_means,sp_0.03,kodim08.png,24.2461,0.7831
nl_means,sp_0.03,kodim09.png,28.4005,0.7556
nl_means,sp_0.03,kodim10.png,27.8918,0.7373
nl_means,sp_0.03,kodim11.png,25.5362,0.6738
